id_str,score,place_typefull_nametext,,,extended_tweet,re_tweet,,,
1.05781E+18,1,,,@MichelCombes @sprint The entire CHICAGO area is down right now. Let’s figure that out!! 🙄,,,,,
1.05781E+18,1,,,"@sprintcare Find me anyone who has been with the same phone carrier for 12 years?
@verizon @USCellular @ATT someone… https://t.co/eGzvNLyNcs","@sprintcare Find me anyone who has been with the same phone carrier for 12 years?
@verizon @USCellular @ATT someone has to want to make @Sprint, @sprintcare and @MichelCombes eat crow?",,,,
1.05781E+18,2,,,@sprintcare will there be a credit on our bills for this outage today?  No info from company during the outage and… https://t.co/xlr69ZnZzS,"@sprintcare will there be a credit on our bills for this outage today?  No info from company during the outage and out for nearly 5 hours!  This is unacceptable!  If bills are a second late or phone plans get refigured, your company is on that ASAP, so how about your customers?",,,,
1.05781E+18,1,,,@NeeNeeSprint @Jennyholloway27 @MichelCombes @jimmills22 @tracySprint @LangerSprint @Sprint4Chi @sprint… https://t.co/ibL7yV8Uok,@NeeNeeSprint @Jennyholloway27 @MichelCombes @jimmills22 @tracySprint @LangerSprint @Sprint4Chi @sprint @Sprint4Midwest @Sprint4SW @marceloclaure Pooh,,,,
1.05781E+18,1,,,@MichelCombes @sprintcare @sprint Michel Combes has Cricket.,,,,,
1.05781E+18,1,,,@SprintCTO @sprint Is this why there’s a network outage?,,,,,
1.05781E+18,1,,,@sprintcare I should be receiving a credit for all of my phones. This is ridiculous!,,,,,
1.05781E+18,1,,,@sprintcare Oh this is gonna cost y’all 😭 couldn’t even call 911!!!,,,,,
1.05781E+18,1,,,@sprintcare Looks like things are working here at the moment in the Detroit area. Can you confirm?,,,,,
1.05781E+18,1,,,"@sprintcare There is a tower in 22312 near 38.811874, -77.182531 broadcasting wrong date and time.  Showing a date… https://t.co/Q7IJlhLdCy","@sprintcare There is a tower in 22312 near 38.811874, -77.182531 broadcasting wrong date and time.  Showing a date in February--  And time about 18 hours off",,,,
1.05781E+18,1,,,@MichelCombes @sprintcare @sprint This is ridiculous I hope your going to reimburse us,,,,,
1.05781E+18,2,city,"Indio, CA",@sprintcare What about the west coast? The Coachella valley to be specific ? You guys were supposed to check into t… https://t.co/XAjsNsrl6B,@sprintcare What about the west coast? The Coachella valley to be specific ? You guys were supposed to check into that asked for my number and pretty much left me on read @MichelCombes,,,,
1.05781E+18,3,,,@sprint can I please be credited for todays issues!,,,,,
1.05781E+18,2,,,@sprint what’s going on? I can’t make any calls,,,,,
1.05781E+18,1,,,@sprintcare get it together 👏🏽👏🏽 I’ve got hoes to call 😒,,,,,
1.05781E+18,1,,,@sprintcare When it comes to incoming and outgoing phone calls.the interruption of my service has not been intermit… https://t.co/Lt7dp7xNdK,@sprintcare When it comes to incoming and outgoing phone calls.the interruption of my service has not been intermittent as described above. It has been non existent!,,,,
1.05781E+18,3,city,"Chicago, IL",@Sprint 👎🏽👎🏽 But thanks @ChipotleTweets for the $4 meal.. Happy Halloween 🎃,,,,,
1.05781E+18,2,,,@sprint https://t.co/31fx3o3DKb,,,,,
1.05781E+18,1,,,@32_Tyrone @m_erickson1279 @NukleaR92 @ttwiitch @youo082501 @drspanky050 @dubspace_00 @Ollerena @sherifhanna… https://t.co/82K60NPC2N,"@32_Tyrone @m_erickson1279 @NukleaR92 @ttwiitch @youo082501 @drspanky050 @dubspace_00 @Ollerena @sherifhanna @kepzilla @TMobile @verizon @FCC @sprint @BGR @Apple @Google @SamsungMobile @realDonaldTrump @AppleSupport Yeah it’s actually a good value, they just really suck at promoting it.",,,,
1.05781E+18,1,,,"@sprintcare Indianapolis Boulevard and 169th, 46324. When is this situation going to be resolved?!?",,,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
1.05781E+18,2,,,RT @FuqkYo_TweetHoe: Count Your Fucking Days @sprint,,Count Your Fucking Days @sprint,,,
